date,country,event,importance,currency,unit,consensus,previous,actual,change,change_percent
2017-01-06 13:30:00,US,Non Farm Payrolls (Dec),High,USD,K,178.0,204.0,156.0,-48.0,-23.529
2017-01-06 13:30:00,US,Unemployment Rate (Dec),High,USD,%,4.7,4.6,4.7,0.1,2.174
2017-01-13 13:30:00,US,Retail Sales MoM (Dec),High,USD,%,0.4,0.2,0.6,0.4,200.0
2017-01-18 13:30:00,US,Core Inflation Rate YoY (Dec),High,USD,%,2.2,2.1,2.2,0.1,4.762
2017-01-18 13:30:00,US,Inflation Rate YoY (Dec),High,USD,%,2.1,1.7,2.1,0.4,23.529
2017-01-27 13:30:00,US,GDP Growth Rate QoQ Adv (Q4),High,USD,%,2.2,3.5,1.9,-1.6,-45.714
2017-01-27 13:30:00,US,Durable Goods Orders MoM (Dec),High,USD,%,2.6,-4.8,-0.4,4.4,91.667
2017-02-03 13:30:00,US,Unemployment Rate (Jan),High,USD,%,4.7,4.7,4.8,0.1,2.128
2017-02-03 13:30:00,US,Non Farm Payrolls (Jan),High,USD,K,175.0,157.0,227.0,70.0,44.586
2017-02-15 13:30:00,US,Retail Sales MoM (Jan),High,USD,%,0.1,1.0,0.4,-0.6,-60.0
2017-02-15 13:30:00,US,Core Inflation Rate YoY (Jan),High,USD,%,2.1,2.2,2.3,0.1,4.545
2017-02-15 13:30:00,US,Inflation Rate YoY (Jan),High,USD,%,2.4,2.1,2.5,0.4,19.048
2017-02-27 13:30:00,US,Durable Goods Orders MoM (Jan),High,USD,%,1.7,-0.8,1.8,2.6,325.0
2017-02-28 13:30:00,US,GDP Growth Rate QoQ (Q4),High,USD,%,2.1,3.5,1.9,-1.6,-45.714
2017-03-10 13:30:00,US,Non Farm Payrolls (Feb),High,USD,K,190.0,238.0,235.0,-3.0,-1.261
2017-03-10 13:30:00,US,Unemployment Rate (Feb),High,USD,%,4.7,4.8,4.7,-0.1,-2.083
2017-03-15 12:30:00,US,Retail Sales MoM (Feb),High,USD,%,0.1,0.6,0.1,-0.5,-83.333
2017-03-15 12:30:00,US,Inflation Rate YoY (Feb),High,USD,%,2.7,2.5,2.7,0.2,8.0
2017-03-15 12:30:00,US,Core Inflation Rate YoY (Feb),High,USD,%,2.2,2.3,2.2,-0.1,-4.348
2017-03-15 18:00:00,US,Fed Interest Rate Decision,High,USD,%,1.0,0.75,1.0,0.25,33.333
2017-03-24 12:30:00,US,Durable Goods Orders MoM (Feb),High,USD,%,1.2,2.3,1.7,-0.6,-26.087
2017-03-30 12:30:00,US,GDP Growth Rate QoQ (Q4),High,USD,%,2.0,3.5,2.1,-1.4,-40.0
2017-04-07 12:30:00,US,Non Farm Payrolls (Mar),High,USD,K,180.0,219.0,98.0,-121.0,-55.251
2017-04-07 12:30:00,US,Unemployment Rate (Mar),High,USD,%,4.7,4.7,4.5,-0.2,-4.255
2017-04-14 12:30:00,US,Retail Sales MoM (Mar),High,USD,%,-0.1,-0.3,-0.2,0.1,33.333
2017-04-14 12:30:00,US,Core Inflation Rate YoY (Mar),High,USD,%,2.3,2.2,2.0,-0.2,-9.091
2017-04-14 12:30:00,US,Inflation Rate YoY (Mar),High,USD,%,2.6,2.7,2.4,-0.3,-11.111
2017-04-27 12:30:00,US,Durable Goods Orders MoM (Mar),High,USD,%,1.2,2.3,0.7,-1.6,-69.565
2017-04-28 12:30:00,US,GDP Growth Rate QoQ Adv (Q1),High,USD,%,1.1,2.1,0.7,-1.4,-66.667
2017-05-05 12:30:00,US,Unemployment Rate (Apr),High,USD,%,4.6,4.5,4.4,-0.1,-2.222
2017-05-05 12:30:00,US,Non Farm Payrolls (Apr),High,USD,K,185.0,79.0,211.0,132.0,167.089
2017-05-12 12:30:00,US,Core Inflation Rate YoY (Apr),High,USD,%,2.0,2.0,1.9,-0.1,-5.0
2017-05-12 12:30:00,US,Retail Sales MoM (Apr),High,USD,%,0.6,0.1,0.4,0.3,300.0
2017-05-12 12:30:00,US,Inflation Rate YoY (Apr),High,USD,%,2.3,2.4,2.2,-0.2,-8.333
2017-05-26 12:30:00,US,GDP Growth Rate QoQ (Q1),High,USD,%,0.9,2.1,1.2,-0.9,-42.857
2017-05-26 12:30:00,US,Durable Goods Orders MoM (Apr),High,USD,%,-1.2,2.3,-0.7,-3.0,-130.435
2017-05-30 12:30:00,US,PCE Price Index YoY (Apr),High,USD,%,1.7,1.9,1.7,-0.2,-10.526
2017-05-30 12:30:00,US,Core PCE Price Index YoY (Apr),High,USD,%,1.5,1.6,1.5,-0.1,-6.25
2017-06-02 12:30:00,US,Non Farm Payrolls (May),High,USD,K,185.0,174.0,138.0,-36.0,-20.69
2017-06-02 12:30:00,US,Unemployment Rate (May),High,USD,%,4.4,4.4,4.3,-0.1,-2.273
2017-06-14 12:30:00,US,Inflation Rate YoY (May),High,USD,%,2.0,2.2,1.9,-0.3,-13.636
2017-06-14 12:30:00,US,Core Inflation Rate YoY (May),High,USD,%,1.9,1.9,1.7,-0.2,-10.526
2017-06-14 12:30:00,US,Retail Sales MoM (May),High,USD,%,0.1,0.4,-0.3,-0.7,-175.0
2017-06-14 18:00:00,US,Fed Interest Rate Decision,High,USD,%,1.25,1.0,1.25,0.25,25.0
2017-06-26 12:30:00,US,Durable Goods Orders MoM (May),High,USD,%,-0.6,-0.9,-1.1,-0.2,-22.222
2017-06-29 12:30:00,US,GDP Growth Rate QoQ (Q1),High,USD,%,1.2,2.1,1.4,-0.7,-33.333
2017-06-30 12:30:00,US,Core PCE Price Index YoY (May),High,USD,%,1.4,1.5,1.4,-0.1,-6.667
2017-07-07 12:30:00,US,Non Farm Payrolls (Jun),High,USD,K,179.0,152.0,222.0,70.0,46.053
2017-07-07 12:30:00,US,Unemployment Rate (Jun),High,USD,%,4.3,4.3,4.4,0.1,2.326
2017-07-14 12:30:00,US,Inflation Rate YoY (Jun),High,USD,%,1.7,1.9,1.6,-0.3,-15.789
2017-07-14 12:30:00,US,Retail Sales MoM (Jun),High,USD,%,0.1,-0.1,-0.2,-0.1,-100.0
2017-07-27 12:30:00,US,Durable Goods Orders MoM (Jun),High,USD,%,3.0,-0.1,6.5,6.6,6600.0
2017-07-28 12:30:00,US,GDP Growth Rate QoQ Adv (Q2),High,USD,%,2.6,1.2,2.6,1.4,116.667
2017-08-04 12:30:00,US,Unemployment Rate (Jul),High,USD,%,4.3,4.4,4.3,-0.1,-2.273
2017-08-04 12:30:00,US,Non Farm Payrolls (Jul),High,USD,K,183.0,231.0,209.0,-22.0,-9.524
2017-08-11 12:30:00,US,Inflation Rate YoY (Jul),High,USD,%,1.8,1.6,1.7,0.1,6.25
2017-08-15 12:30:00,US,Retail Sales MoM (Jul),High,USD,%,0.4,0.3,0.6,0.3,100.0
2017-08-25 12:30:00,US,Durable Goods Orders MoM (Jul),High,USD,%,-6.0,6.4,-6.8,-13.2,-206.25
2017-08-29 20:30:00,US,API Weekly Crude Oil Stock (Aug),High,USD,M,-1.5,-3.59,-5.78,-2.19,-61.003
2017-08-30 12:30:00,US,GDP Growth Rate QoQ (Q2),High,USD,%,2.7,1.2,3.0,1.8,150.0
2017-08-31 12:30:00,US,Core PCE Price Index YoY (Jul),High,USD,%,1.4,1.5,1.4,-0.1,-6.667
2017-09-01 12:30:00,US,Non Farm Payrolls (Aug),High,USD,K,180.0,189.0,156.0,-33.0,-17.46
2017-09-01 12:30:00,US,Unemployment Rate (Aug),High,USD,%,4.3,4.3,4.4,0.1,2.326
2017-09-06 20:30:00,US,API Weekly Crude Oil Stock (Sep),High,USD,M,4.6,-5.78,2.791,8.571,148.287
2017-09-12 23:30:00,US,API Weekly Crude Oil Stock (Sep),High,USD,M,2.91,2.791,6.181,3.39,121.462
2017-09-14 12:30:00,US,Inflation Rate YoY (Aug),High,USD,%,1.8,1.7,1.9,0.2,11.765
2017-09-15 12:30:00,US,Retail Sales MoM (Aug),High,USD,%,0.1,0.3,-0.2,-0.5,-166.667
2017-09-27 12:30:00,US,Durable Goods Orders MoM (Aug),High,USD,%,1.0,-6.8,1.7,8.5,125.0
2017-09-28 12:30:00,US,GDP Growth Rate QoQ (Q2),High,USD,%,3.0,1.2,3.1,1.9,158.333
2017-09-29 12:30:00,US,Core PCE Price Index YoY (Aug),High,USD,%,1.4,1.4,1.3,-0.1,-7.143
2017-10-06 12:30:00,US,Non Farm Payrolls (Sep),High,USD,K,90.0,169.0,-33.0,-202.0,-119.527
2017-10-06 12:30:00,US,Unemployment Rate (Sep),High,USD,%,4.4,4.4,4.2,-0.2,-4.545
2017-10-13 12:30:00,US,Retail Sales MoM (Sep),High,USD,%,1.7,-0.1,1.6,1.7,1700.0
2017-10-13 12:30:00,US,Inflation Rate YoY (Sep),High,USD,%,2.3,1.9,2.2,0.3,15.789
2017-10-17 20:30:00,US,API Weekly Crude Oil Stock (Oct),High,USD,M,-4.2,3.097,-7.13,-10.227,-330.223
2017-10-25 12:30:00,US,Durable Goods Orders MoM (Sep),High,USD,%,1.0,2.0,2.2,0.2,10.0
2017-10-27 12:30:00,US,GDP Growth Rate QoQ Adv (Q3),High,USD,%,3.3,3.1,3.0,-0.1,-3.226
